handle,title,vendor,formattedcode,gram,qty,price,archived,archivedon,addedon,lastfetcheddate
marthas-vineyard-beach-rewpc49031,Vinyl Martha's Vineyard Beach REWPC490 Beach House,republicfloor,republicfloor-REWPC490,22679.6185,9000,68.32,,,25-05-2021,25-05-2021
nantucket-beach-rewpc48030,Nantucket beach REWPC480,republicfloor,republicfloor-REWPC480,0,0,0,,,25-05-2021,25-05-2021
east-hampton-beach-rewpc47029,East Hampton Beach REWPC470 Baeach House,republicfloor,republicfloor-REWPC470,0,0,0,,,25-05-2021,25-05-2021
clearwater-beach-rewpc44028,Clearwater Beach REWPC440 Beach House,republicfloor,republicfloor-REWPC440,0,0,0,,,25-05-2021,25-05-2021
myrtle-beach-rewpc41027,Vinyl Myrtle Beach REWPC410 Beach House,republicfloor,republicfloor-REWPC410,0,0,0,,,25-05-2021,25-05-2021
victoria-rela320226,Victoria RELA3202 The Lake,republicfloor,republicfloor-RELA3202,0,0,0,,,25-05-2021,25-05-2021
como-rela320125,Como RELA3201 The Lake,republicfloor,republicfloor-RELA3201,0,0,0,,,25-05-2021,25-05-2021
french-guiana-refi420524,French Guiana REFI4205 The French Island,republicfloor,republicfloor-REFI4205,0,0,0,,,25-05-2021,25-05-2021
martinique-refi420423,Vinyl Martinique REFI4204 The French Island,republicfloor,republicfloor-REFI4204,27215.5422,100000,159.13,,,25-05-2021,25-05-2021
saint-martin-refi420322,Saint Martin REFI4203,republicfloor,republicfloor-REFI4203,0,0,0,,,25-05-2021,25-05-2021
reunion-refi420221,Reunion REFI4202 The French Island,republicfloor,republicfloor-REFI4202,27215.5422,100000,159.13,,,25-05-2021,25-05-2021
corsica-refi420120,Corsica REFI4201 The French Usland,republicfloor,republicfloor-REFI4201,27215.5422,100000,159.13,,,25-05-2021,25-05-2021
blue-oak-reco240719,Vinyl Blue Oak RECO2407 Coastal,republicfloor,republicfloor-RECO2407,22679.6185,100000,124.54,,,25-05-2021,25-05-2021
channel-island-scrub-oak-reco240618,Channel Island Scrub Oak RECO2406 Coastal,republicfloor,republicfloor-RECO2406,0,0,0,,,25-05-2021,25-05-2021
sand-live-oak-reco240517,Sand Live Oak RECO2405,republicfloor,republicfloor-RECO2405,0,0,0,,,25-05-2021,25-05-2021
canyon-live-oak-reco240416,Canyon Live Oak RECO2404,republicfloor,republicfloor-RECO2404,0,0,0,,,25-05-2021,25-05-2021
cedros-island-oak-reco240315,Cedros Island Oak RECO2403,republicfloor,republicfloor-RECO2403,0,0,0,,,25-05-2021,25-05-2021
carmen-oak-reco240214,Vinyl Carmen Oak RECO2402 Coastal,republicfloor,republicfloor-RECO2402,22679.6185,100000,124.54,,,25-05-2021,25-05-2021
coastal-live-oak-reco240113,Coastal Live Oak RECO2401 Coastal,republicfloor,republicfloor-RECO2401,22679.6185,100000,124.54,,,25-05-2021,25-05-2021
harvard-oak-reor230712,Harvard Oak REOR2307 Great Oregon,republicfloor,republicfloor-REOR2307,27215.5422,100000,186.63,,,25-05-2021,25-05-2021
gray-oak-reor230611,Gray Oak REOR2306 Great Oregon,republicfloor,republicfloor-REOR2306,27215.5422,100000,186.63,,,25-05-2021,25-05-2021
sessile-oak-reor230510,Sessile Oak REOR2305,republicfloor,republicfloor-REOR2305,19958.06428,10000,149.23,,,25-05-2021,25-05-2021
oregon-white-oak-reor23049,Oregon White Oak REOR2304 Great Oregon,republicfloor,republicfloor-REOR2304,27215.5422,100000,186.63,,,25-05-2021,25-05-2021
